replicate_id,T_HET
0,7.676059361896459e-05
1,7.193224306441095e-05
2,8.50832196490081e-05
3,0.00024620785921462867
4,0.00019819372145787493
5,8.486142385018031e-05
6,0.00011406998089588037
7,0.0001206424223976627
8,6.2972984851886e-05
9,9.389185363856008e-05
10,0.00019055716452244455
11,0.00012008031283582177
12,6.55422104598503e-05
13,0.00021694683799231975
14,0.00021226321535567624
15,5.913366496782646e-05
16,6.317640621033043e-05
17,0.00023626817289388777
18,7.716083318914353e-05
19,9.193244661676905e-05
20,6.58777816452206e-05
21,0.00011306801486647811
22,8.349366853655409e-05
23,8.109226068554096e-05
24,3.3392671269001086e-05
25,0.00016487661659058035
26,0.0001403168423253056
27,5.19520530712579e-05
28,0.0003471551778609697
29,3.741934791516651e-05
30,0.00014204750445208516
31,0.00010711724785183451
32,0.0001521873694254155
33,6.018083459295059e-05
34,0.000206677961556286
35,0.00016623530876375324
36,0.0001797518689575432
37,7.139587388919109e-05
38,8.307472927088658e-05
39,0.0001690175969343191
40,8.88212187739016e-05
41,0.0001925059152419967
42,0.00013954225920925257
43,0.0003270113239570106
44,0.0001226746648107688
45,3.5832524145107706e-05
46,3.9305060282264515e-05
47,6.84638388790995e-05
48,8.876529198177767e-05
49,0.00022724733086563527
50,0.0001409735387446159
51,4.214847795755196e-05
52,0.00016820623690062846
53,2.9056615890869315e-05
54,8.814496490593093e-05
55,0.00019030968837822372
56,7.380288659167216e-05
57,8.66027337871998e-05
58,3.733106201951699e-05
59,0.00011192237061909378
60,0.0001300836696892243
61,0.00010321497425085491
62,0.0001277747345981303
63,8.932277870690134e-05
64,9.381191923387612e-05
65,0.00015399659014163765
66,0.00014682988949605313
67,0.0001574604529308758
68,5.947324029318154e-05
69,0.00015019633506503023
70,0.000146665509094251
71,0.0001018696155053856
72,0.0002556123062685761
73,0.00018041392503646158
74,0.00013598585365464462
75,9.774768916677158e-05
76,0.0002491006422845852
77,0.00012249504063557794
78,0.00018730711609419535
79,8.997589748070929e-05
80,4.9712058372826444e-05
81,4.8109095944462075e-05
82,0.00016896717848517213
83,7.56127862901526e-05
84,3.969064719346693e-05
85,0.00012154489306094802
86,0.00017877344916730162
87,7.57442228042108e-05
88,0.00019425905890170828
89,0.00014787098232691185
90,0.00011387799048200232
91,6.340724468196447e-05
92,6.975911558167614e-05
93,0.00010568288855546904
94,5.054538562425248e-05
95,0.00011827913995635703
96,9.05821170136035e-05
97,0.00010162727405076554
98,5.142614784242121e-05
99,8.545616024144872e-05
100,4.2467953556952114e-05
101,8.751220432408352e-05
102,0.00019851050443990228
103,0.00032313226995685847
104,3.349510194983361e-05
105,5.6836777545708255e-05
106,0.00027204605447925354
107,0.00011812816801244841
108,0.00011042096457442371
109,0.0001217830324777261
110,5.10362740833255e-05
111,7.872769957339479e-05
112,2.8339961966919642e-05
113,0.00020111344050937233
114,0.00013816345191559212
115,4.29685369652255e-05
116,7.40171947733863e-05
117,6.516753631287651e-05
118,6.55165326764024e-05
119,9.953236477905966e-05
120,0.00017065012060169026
121,9.109074966828596e-05
122,0.00011607128953645068
123,6.643605983357773e-05
124,0.00011679044655886145
125,8.607554095544304e-05
126,4.4873314876166376e-05
127,0.00023872991928065745
128,0.00018168126720019372
129,5.419627014109994e-05
